periodo,provincia,departamento,sector,ambito,PoblacionIndigenaInicial,PoblacionIndigenaPrimaria,PoblacionIndigenaSecundaria,BoliviaInicial,BrasilInicial,ChileInicial,ParaguayInicial,PeruInicial,UruguayInicial,OtrospaisesdeAmericaInicial,EuropaInicial,AsiaInicial,OtrosInicial,BoliviaPrimaria,BrasilPrimaria,ChilePrimaria,ParaguayPrimaria,PeruPrimaria,UruguayPrimaria,OtrospaisesdeAmericaPrimaria,EuropaPrimaria,AsiaPrimaria,OtrosPrimaria,BoliviaSecundaria,BrasilSecundaria,ChileSecundaria,ParaguaySecundaria,PeruSecundaria,UruguaySecundaria,OtrospaisesdeAmericaSecundaria,EuropaSecundaria,AsiaSecundaria,OtrosSecundaria
2011,BUENOS AIRES,CORONEL DE MARINA L ROSALES,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0
2011,BUENOS AIRES,CORONEL DE MARINA L ROSALES,Estatal,Urbano,0,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,23,0,0,2,0,0,0,0,0,0,8,0,0,2,0,0,0
2011,BUENOS AIRES,CORONEL DE MARINA L ROSALES,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL DORREGO,Estatal,Rural,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL DORREGO,Estatal,Urbano,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL DORREGO,Privado,Urbano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL PRINGLES,Estatal,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL PRINGLES,Estatal,Urbano,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL SUAREZ,Estatal,Rural,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2011,BUENOS AIRES,CORONEL SUAREZ,Estatal,Urbano,4,0,0,0,0,0,0,1,0,0,0,0,0,1,6,1,8,0,0,0,3,0,0,0,0,0,4,0,0,0,1,1,0
